Device_ID,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,num_steps,skewness,kurt,ratio,bandpower,snr,thd
p28a,1.1022408096118361,0.4678586680597716,1.0224473761293553,0.12590775070547017,4.275458947660024,4,0.0,-3.0,0.5882012082770043,0.2188917332786635,2.3308186260117367e-15,0.9539768141419678
p29a,1.08418490451318,0.411861694809648,1.0074671482070867,0.10842942963272784,5.291299137029191,10,0.0,-3.0,0.8546377510866476,0.16963005565147563,-1.0720970149446048e-15,0.9868666391455623
p31a,1.0683390275519609,0.4678039794073386,1.001221615955927,0.09844152034580204,4.086242216358282,15,0.0,-3.0,0.6103901217414385,0.21884056314934178,-1.1544222849091995e-15,0.9846870445020467
p31b,1.0680649837595229,0.4547714241413087,1.010720985646331,0.12369455073612874,6.502938999154881,5,0.0,-3.0,2.1930326234729836,0.20681704821551397,-6.960454381074386e-16,0.9841680483783292
p32a,1.0228358113681835,0.20756235028202003,0.9985347712433981,0.04549870266823526,2.2468460420054606,7,0.0,-3.0,0.6679163067721069,0.043082129254596035,-2.539817489541755e-15,0.9810193337718945
p32b,1.0270119383850154,0.2464754784455962,1.0040025605457779,0.1773541603152234,2.80006954287899,8,0.0,-3.0,0.15394823182033646,0.06075016147498559,-2.959293074538659e-15,0.987059967536611
p34a,10.576058530830855,2.694758241621749,9.83859330689441,4.90002746510185,25.458829568920432,0,0.0,-3.0,0.0,7.26172198078834,1.791005939582594e-16,0.9703626051405166
p37a,1.017008765320977,0.18132373413978106,1.0001782699772037,0.3961222273701984,2.863632679577569,6,0.0,-3.0,0.42660922415871566,0.03287829656239402,4.1772903045859305e-15,0.9666826361775765
p38a,1.0447105201415499,0.2695979519673166,1.0053365883503407,0.2769071612296553,4.852416319330136,15,0.0,-3.0,1.1756822763896673,0.07268305570497144,-1.4705601897219884e-15,0.9906797796091142
p40a,1.0172302313208899,0.1950613540688369,0.9992616753375388,0.5355999485977514,1.9053733158914594,1,0.0,-3.0,0.0,0.038048931851168186,-1.4229151513955962e-16,0.9370317861444545
p42a,11.193845142873537,3.5093064756761487,10.675430043372991,2.7229940678696605,25.038937785241576,0,0.0,-3.0,0.0,12.315231940222555,1.2768620143274052e-16,1.006289522748502
p44b,1.0205022033371565,0.24477752816468326,1.000173466368805,0.25740937845174955,2.8129319608046415,3,0.0,-3.0,0.9620712801560746,0.05991603829441232,1.8233504696016456e-15,0.9519990060921067
p51a,1.0091589302609971,0.42474209376624533,1.0041141847806987,0.2546455564327149,3.3728529006880357,1,0.0,-3.0,0.0,0.18040584621693392,-5.525534642707565e-16,0.8859982463544733
p52a,1.1307715369731286,0.4150694428890835,1.0423552013720128,0.3191121663288226,2.909451523721262,1,0.0,-3.0,0.0,0.17228264242025418,-9.335012302934579e-16,0.9196977400115384
p53a,1.0970943288079815,0.31116896941026645,1.0288703786011246,0.32697263983285213,2.1287592061689633,3,0.0,-3.0,0.45680790352646317,0.09682612752384734,2.1116204836279353e-16,0.9389657135219872
p53b,1.03637255897353,0.13595262695008406,1.0127838939621563,0.7528110530051759,1.4851068717445428,1,0.0,-3.0,0.0,0.018483116774628727,-1.1277201210736266e-15,0.9999999999999997
p55a,1.002688651545991,0.14318473817683144,0.9952584939382255,0.27072549704449583,1.6057532386472222,1,0.0,-3.0,0.0,0.02050186924676776,1.746346949788899e-15,0.8965420387410971
p57b,1.0126947236241068,0.28556384346263414,1.0062859152807988,0.3039410396382701,1.9163098979962612,12,0.0,-3.0,0.10617287017196615,0.08154670869315184,5.468339276739854e-16,0.9815387056000126
p58a,1.046304721742682,0.27690710813256797,0.9973309419826066,0.11765559407161538,4.462549848713863,21,0.0,-3.0,0.24748053250629973,0.07667754653434201,-1.5539369449934273e-14,0.9836066511282674
p59b,1.0337526256969112,0.29362179333993577,0.9977887528704543,0.15698789836176938,2.9683165600858086,11,0.0,-3.0,0.5147568634816594,0.08621375752415993,-2.7394231975355966e-15,0.9833983819134056
p61b,1.1720619628202966,0.6411460023769842,1.0199187166650283,0.0816862267006963,4.992398898694328,3,0.0,-3.0,0.3757616013583542,0.41106819636398784,1.578400402958104e-15,0.9400508348747255
p64a,1.071114642161297,0.4387558507764068,1.0041748124080425,0.16630440307417618,4.019644857772676,4,0.0,-3.0,0.5725907155078138,0.19250669659052858,-1.518233463089614e-15,0.9675460620450672
p64b,1.0696977090293687,0.46274609506585024,1.0071921527707728,0.22943014158375213,3.7766366205077824,1,0.0,-3.0,0.0,0.2141339484986929,2.3731272824611796e-16,0.8723762828970478
p66a,1.0509436362608697,0.27273313794441384,1.0038019464259504,0.3600116864335168,2.096740552869856,1,0.0,-3.0,0.0,0.07438336453300665,-7.563679362886547e-16,0.8952909515299354
p67b,1.0387272337475215,0.21119997143201974,1.014849926169532,0.6165607854650264,2.7325302493050474,2,0.0,-3.0,0.49170964284102864,0.044605427932885924,-5.874960582075932e-15,0.9321778986997079
p68b,1.06602844604365,0.29541838634923295,1.0097162674534337,0.22477530797845707,4.287210618634282,15,0.0,-3.0,0.4995050618017208,0.08727202299318479,1.7584692202496525e-15,0.9942306958444779
